chrom,start,end,kmeans_label
chr10,3117593,3117993,2
chr10,3172364,3172764,0
chr10,3172903,3173303,0
chr10,3181097,3181497,0
chr10,3191617,3192017,3
chr10,3286958,3287358,0
chr10,3366323,3366723,4
chr10,3531352,3531752,4
chr10,3562167,3562567,4
chr10,3567824,3568224,1
chr10,3572952,3573352,1
chr10,3631126,3631526,0
chr10,3646453,3646853,0
chr10,3740200,3740600,1
chr10,3785359,3785759,2
chr10,3834160,3834560,1
chr10,3834738,3835138,0
chr10,3852520,3852920,0
chr10,3863438,3863838,2
chr10,3873493,3873893,2
chr10,3881178,3881578,3
chr10,3891810,3892210,3
chr10,3920038,3920438,2
chr10,3933571,3933971,2
chr10,3941208,3941608,0
chr10,3942831,3943231,0
chr10,3943872,3944272,2
chr10,3949262,3949662,0
chr10,3956574,3956974,2
chr10,3958523,3958923,1
chr10,3973583,3973983,2
chr10,3975230,3975630,0
chr10,3980733,3981133,0
chr10,3996394,3996794,1
chr10,4053666,4054066,2
chr10,4056238,4056638,3
chr10,4061090,4061490,0
chr10,4072496,4072896,0
chr10,4079765,4080165,1
chr10,4085717,4086117,4
chr10,4088761,4089161,4
chr10,4103479,4103879,0
chr10,4105761,4106161,2
chr10,4107685,4108085,0
chr10,4111248,4111648,4
chr10,4123837,4124237,2
chr10,4143377,4143777,0
chr10,4145250,4145650,2
chr10,4203672,4204072,1
chr10,4233149,4233549,2
chr10,4236668,4237068,1
chr10,4243604,4244004,2
chr10,4249312,4249712,2
chr10,4250826,4251226,4
chr10,4253867,4254267,3
chr10,4259943,4260343,0
chr10,4261293,4261693,2
chr10,4264608,4265008,2
chr10,4266019,4266419,2
chr10,4273947,4274347,2
chr10,4277953,4278353,0
chr10,4282419,4282819,0
chr10,4284723,4285123,0
chr10,4286315,4286715,3
chr10,4289624,4290024,0
chr10,4303540,4303940,0
chr10,4333902,4334302,0
chr10,4336286,4336686,2
chr10,4336943,4337343,1
chr10,4339096,4339496,0
chr10,4341278,4341678,2
chr10,4346813,4347213,2
chr10,4347536,4347936,2
chr10,4350779,4351179,2
chr10,4354761,4355161,1
chr10,4364583,4364983,0
chr10,4370072,4370472,0
chr10,4371996,4372396,0
chr10,4372711,4373111,2
chr10,4375230,4375630,2
chr10,4377500,4377900,0
chr10,4386811,4387211,2
chr10,4390936,4391336,0
chr10,4391827,4392227,2
chr10,4395302,4395702,3
chr10,4404887,4405287,4
chr10,4430068,4430468,0
chr10,4432190,4432590,1
chr10,4433320,4433720,0
chr10,4435216,4435616,0
chr10,4460151,4460551,0
chr10,4469279,4469679,0
chr10,4480119,4480519,0
chr10,4482240,4482640,2
chr10,4486315,4486715,1
chr10,4492971,4493371,0
chr10,4587019,4587419,3
chr10,4598304,4598704,4
chr10,4712414,4712814,2
chr10,5027183,5027583,2
chr10,5085870,5086270,0
chr10,5161492,5161892,2
chr10,5188780,5189180,2
chr10,5194633,5195033,1
chr10,5215995,5216395,2
chr10,5227518,5227918,1
chr10,5289320,5289720,3
chr10,5317611,5318011,1
chr10,5329506,5329906,0
chr10,5480094,5480494,1
chr10,5480511,5480911,1
chr10,5550527,5550927,2
chr10,5560552,5560952,2
chr10,5563994,5564394,2
chr10,5736111,5736511,0
chr10,5762643,5763043,3
chr10,5773237,5773637,0
chr10,5786970,5787370,1
chr10,5790691,5791091,1
chr10,5794660,5795060,2
chr10,5796240,5796640,0
chr10,5800545,5800945,2
chr10,5805355,5805755,0
chr10,5822315,5822715,2
chr10,5824007,5824407,0
chr10,5858016,5858416,0
chr10,5859735,5860135,2
chr10,5899375,5899775,3
chr10,5922362,5922762,4
chr10,5953952,5954352,3
chr10,6035817,6036217,1
chr10,6109421,6109821,1
chr10,6134128,6134528,3
chr10,6164346,6164746,0
chr10,6349371,6349771,0
chr10,6358162,6358562,0
chr10,6369451,6369851,0
chr10,6562449,6562849,0
chr10,6586617,6587017,0
chr10,6788715,6789115,1
chr10,6820662,6821062,3
chr10,6878292,6878692,2
chr10,6882033,6882433,0
chr10,7005153,7005553,0
chr10,7101540,7101940,3
chr10,7124966,7125366,2
chr10,7187848,7188248,0
chr10,7189204,7189604,1
chr10,7212030,7212430,1
chr10,7333362,7333762,1
chr10,7390797,7391197,1
chr10,7393491,7393891,2
chr10,7470064,7470464,1
chr10,7578018,7578418,3
chr10,7582364,7582764,2
chr10,7589619,7590019,2
chr10,7591384,7591784,2
chr10,7600625,7601025,4
chr10,7608623,7609023,0
chr10,7612208,7612608,3
chr10,7614772,7615172,4
chr10,7617701,7618101,2
chr10,7619716,7620116,2
chr10,7661662,7662062,0
chr10,7663113,7663513,2
chr10,7667322,7667722,0
chr10,7673691,7674091,3
chr10,7681519,7681919,1
