chrom,start,end,Fresh,Fix,HexFix
chr10,3117593,3117993,44,10,10
chr10,3172364,3172764,23,13,11
chr10,3172903,3173303,72,28,18
chr10,3181097,3181497,15,12,8
chr10,3191617,3192017,20,10,4
chr10,3286958,3287358,18,10,8
chr10,3366323,3366723,102,2,26
chr10,3531352,3531752,17,2,16
chr10,3562167,3562567,12,1,13
chr10,3567824,3568224,13,2,13
chr10,3572952,3573352,73,7,15
chr10,3631126,3631526,29,11,6
chr10,3646453,3646853,76,26,15
chr10,3740200,3740600,146,12,34
chr10,3785359,3785759,17,7,12
chr10,3834160,3834560,22,4,19
chr10,3834738,3835138,26,13,8
chr10,3852520,3852920,49,19,17
chr10,3863438,3863838,39,6,6
chr10,3873493,3873893,80,24,32
chr10,3881178,3881578,90,49,31
chr10,3891810,3892210,293,85,51
chr10,3920038,3920438,26,9,12
chr10,3933571,3933971,49,13,16
chr10,3941208,3941608,340,87,128
chr10,3942831,3943231,7,13,12
chr10,3943872,3944272,35,8,14
chr10,3949262,3949662,68,15,9
chr10,3956574,3956974,29,9,14
chr10,3958523,3958923,18,4,20
chr10,3973583,3973983,212,53,104
chr10,3975230,3975630,22,11,11
chr10,3980733,3981133,16,11,10
chr10,3996394,3996794,53,6,15
chr10,4053666,4054066,19,10,14
chr10,4056238,4056638,23,7,3
chr10,4061090,4061490,61,27,30
chr10,4072496,4072896,164,71,51
chr10,4079765,4080165,63,13,37
chr10,4085717,4086117,35,3,18
chr10,4088761,4089161,16,1,11
chr10,4103479,4103879,20,14,20
chr10,4105761,4106161,93,22,36
chr10,4107685,4108085,188,59,69
chr10,4111248,4111648,33,1,22
chr10,4123837,4124237,69,13,14
chr10,4143377,4143777,109,40,35
chr10,4145250,4145650,66,18,31
chr10,4203672,4204072,49,8,16
chr10,4233149,4233549,22,8,16
chr10,4236668,4237068,21,4,14
chr10,4243604,4244004,260,58,86
chr10,4249312,4249712,165,39,61
chr10,4250826,4251226,57,1,29
chr10,4253867,4254267,62,18,9
chr10,4259943,4260343,54,22,17
chr10,4261293,4261693,20,11,17
chr10,4264608,4265008,12,5,12
chr10,4266019,4266419,123,22,51
chr10,4273947,4274347,29,8,21
chr10,4277953,4278353,34,11,10
chr10,4282419,4282819,18,10,6
chr10,4284723,4285123,39,18,12
chr10,4286315,4286715,18,9,4
chr10,4289624,4290024,322,63,69
chr10,4303540,4303940,36,9,5
chr10,4333902,4334302,33,19,23
chr10,4336286,4336686,17,7,13
chr10,4336943,4337343,20,3,15
chr10,4339096,4339496,26,8,6
chr10,4341278,4341678,35,13,28
chr10,4346813,4347213,180,28,46
chr10,4347536,4347936,18,10,15
chr10,4350779,4351179,33,13,17
chr10,4354761,4355161,25,4,11
chr10,4364583,4364983,21,13,11
chr10,4370072,4370472,26,16,19
chr10,4371996,4372396,98,30,37
chr10,4372711,4373111,22,7,18
chr10,4375230,4375630,247,50,67
chr10,4377500,4377900,19,10,8
chr10,4386811,4387211,322,73,123
chr10,4390936,4391336,5,16,14
chr10,4391827,4392227,45,17,25
chr10,4395302,4395702,15,18,8
chr10,4404887,4405287,25,0,16
chr10,4430068,4430468,11,9,13
chr10,4432190,4432590,168,15,60
chr10,4433320,4433720,20,10,13
chr10,4435216,4435616,26,14,10
chr10,4460151,4460551,36,13,13
chr10,4469279,4469679,23,8,6
chr10,4480119,4480519,76,24,27
chr10,4482240,4482640,87,20,35
chr10,4486315,4486715,28,4,13
chr10,4492971,4493371,171,46,42
chr10,4587019,4587419,29,10,2
chr10,4598304,4598704,23,2,12
chr10,4712414,4712814,51,15,17
chr10,5027183,5027583,68,16,30
chr10,5085870,5086270,34,8,6
chr10,5161492,5161892,20,7,17
chr10,5188780,5189180,59,18,25
chr10,5194633,5195033,84,14,36
chr10,5215995,5216395,49,10,14
chr10,5227518,5227918,28,6,23
chr10,5289320,5289720,30,10,3
chr10,5317611,5318011,15,5,17
chr10,5329506,5329906,28,15,12
chr10,5480094,5480494,22,4,12
chr10,5480511,5480911,23,4,11
chr10,5550527,5550927,259,42,90
chr10,5560552,5560952,116,21,31
chr10,5563994,5564394,36,14,21
chr10,5736111,5736511,99,54,53
chr10,5762643,5763043,13,12,5
chr10,5773237,5773637,89,46,45
chr10,5786970,5787370,23,2,11
chr10,5790691,5791091,12,3,14
chr10,5794660,5795060,64,15,19
chr10,5796240,5796640,21,10,7
chr10,5800545,5800945,20,6,13
chr10,5805355,5805755,406,135,189
chr10,5822315,5822715,28,12,16
chr10,5824007,5824407,537,227,239
chr10,5858016,5858416,56,18,15
chr10,5859735,5860135,21,8,13
chr10,5899375,5899775,45,17,3
chr10,5922362,5922762,80,6,36
chr10,5953952,5954352,30,16,8
chr10,6035817,6036217,24,4,10
chr10,6109421,6109821,26,7,18
chr10,6134128,6134528,36,20,4
chr10,6164346,6164746,86,27,28
chr10,6349371,6349771,25,14,18
chr10,6358162,6358562,65,28,24
chr10,6369451,6369851,36,23,14
chr10,6562449,6562849,27,13,10
chr10,6586617,6587017,35,12,11
chr10,6788715,6789115,42,5,30
chr10,6820662,6821062,105,41,25
chr10,6878292,6878692,42,10,10
chr10,6882033,6882433,75,22,13
chr10,7005153,7005553,56,14,13
chr10,7101540,7101940,21,8,2
chr10,7124966,7125366,50,12,12
chr10,7187848,7188248,40,16,17
chr10,7189204,7189604,58,10,22
chr10,7212030,7212430,171,25,72
chr10,7333362,7333762,38,4,13
chr10,7390797,7391197,59,9,24
chr10,7393491,7393891,32,7,10
chr10,7470064,7470464,48,8,23
chr10,7578018,7578418,19,9,3
chr10,7582364,7582764,49,10,9
